Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2026,119,1288,90,1313,84,H,0,28,57,14,28,20,24,3,32,20,9,1,4,18,31,79,5,19,17,26,22,28,17,7,5,2,20
2026,118,1455,84,1427,67,A,0,30,74,9,29,15,17,21,34,12,10,4,8,20,21,63,5,17,20,28,14,24,3,6,5,8,14
2026,118,1158,79,1423,76,A,0,24,56,10,26,21,28,10,18,12,6,7,5,18,26,62,13,32,11,16,21,26,14,15,4,2,17
2026,118,1277,77,1231,64,A,0,25,51,12,24,15,19,10,25,15,9,2,3,14,22,56,10,35,10,13,8,19,8,7,4,3,17
2026,118,1320,75,1179,53,A,0,28,59,10,25,9,12,7,25,14,6,8,2,14,18,58,9,37,8,11,16,25,9,15,3,3,15
2026,118,1133,87,1293,78,H,0,28,52,5,15,26,36,10,27,18,9,6,7,20,24,59,11,26,19,26,12,19,15,7,5,2,25
2026,118,1233,69,1264,65,A,0,23,55,9,28,14,23,14,34,13,23,4,2,16,21,64,7,26,16,19,10,24,14,12,14,2,20
2026,118,1326,82,1345,74,H,0,24,47,9,24,25,32,10,26,9,7,3,3,17,28,63,11,29,7,10,10,19,13,6,5,0,23
2026,118,1172,71,1247,64,H,0,25,53,8,20,13,21,9,28,14,13,7,6,19,18,53,5,15,23,27,8,23,10,10,8,4,19
2026,118,1317,62,1412,58,A,0,25,60,6,17,6,10,9,26,11,8,7,2,16,20,51,5,20,13,20,8,27,6,12,3,5,11
2026,118,1353,69,1268,65,A,0,23,58,4,17,19,23,5,21,10,6,8,4,14,24,60,6,28,11,16,16,34,10,19,4,7,22
2026,117,1388,70,1211,59,H,0,23,66,16,33,8,11,15,27,15,6,5,4,13,22,56,5,17,10,12,7,30,13,11,1,4,16
2026,117,1414,64,1364,60,H,0,23,58,1,10,17,27,11,24,9,7,9,2,11,21,49,11,25,7,9,6,26,14,18,2,4,21
2026,117,1424,85,1305,83,H,0,29,58,8,19,19,29,13,26,16,16,7,7,26,25,58,7,14,26,36,12,21,13,13,6,3,20
2026,117,1429,74,1213,69,H,0,26,54,11,23,11,19,6,21,18,6,7,2,14,24,53,9,28,12,13,9,26,13,14,3,3,18
2026,117,1471,80,1142,64,H,0,31,67,8,24,10,16,10,29,18,6,10,3,14,22,58,12,39,8,8,7,31,14,15,3,2,15
2026,117,1253,88,1167,87,A,0,33,54,9,16,13,20,6,26,12,17,5,2,27,27,51,3,10,30,44,7,20,13,9,13,2,20
2026,117,1196,111,1116,77,H,0,39,69,8,19,25,32,16,35,17,12,3,5,20,30,75,4,13,13,24,14,17,10,9,7,1,25
2026,117,1314,89,1439,82,H,0,29,52,8,20,23,30,11,23,16,13,5,2,13,31,62,9,23,11,11,6,16,16,9,6,2,24
2026,117,1279,85,1120,79,A,0,31,58,10,25,13,17,8,19,16,9,7,4,17,26,51,8,24,19,27,11,21,8,14,6,2,19
2026,117,1385,89,1437,57,H,0,32,61,8,15,17,24,8,32,26,8,11,5,17,20,54,7,23,10,16,5,21,11,16,4,2,18
2026,117,1387,91,1182,76,H,0,27,50,16,28,21,24,6,22,22,10,5,4,19,26,56,8,24,16,23,11,17,16,10,8,4,18
2026,117,1365,93,1333,72,H,0,30,67,13,36,20,24,19,22,22,11,7,2,26,20,46,4,20,28,39,9,20,16,11,9,0,18
2026,117,1124,87,1416,86,A,0,30,64,9,23,18,22,16,19,19,8,3,2,15,31,60,8,18,16,19,10,18,22,7,4,8,15
2026,117,1129,69,1201,53,A,0,26,65,11,37,6,8,17,27,9,9,5,0,13,22,54,3,18,6,9,7,23,7,8,4,4,12
2026,117,1460,92,1297,91,A,0,35,63,9,18,13,20,14,23,15,11,8,0,19,33,62,9,25,16,20,9,18,14,8,8,2,20
2026,117,1220,67,1392,58,H,0,18,48,11,29,20,26,5,35,10,14,7,7,15,19,65,10,36,10,15,13,26,13,10,6,0,18
2026,117,1218,87,1168,85,A,0,28,59,14,39,17,20,9,28,21,13,5,4,21,28,60,11,26,18,26,8,25,18,7,8,1,22
2026,117,1395,77,1243,68,A,0,27,63,7,27,16,23,11,25,17,8,12,4,12,28,56,8,23,4,9,5,26,19,18,7,4,18
2026,117,1290,70,1115,69,A,0,27,58,5,17,11,15,12,26,13,17,6,2,23,22,55,4,21,21,30,12,22,14,12,11,3,16
2026,117,1394,71,1322,59,H,0,25,56,9,22,12,19,10,22,13,5,8,3,19,18,46,6,12,17,21,7,26,9,12,3,3,14
2026,117,1104,71,1397,69,A,0,25,56,10,27,11,13,9,21,8,10,3,4,11,30,78,4,18,5,8,25,22,13,6,9,4,15
2026,117,1362,72,1334,61,A,0,24,47,10,23,14,25,4,25,12,9,7,5,17,24,60,2,17,11,19,16,27,15,12,4,0,21
2026,117,1390,95,1374,75,H,0,26,51,14,27,29,32,9,22,16,7,8,2,18,27,57,7,18,14,20,11,17,9,9,2,0,26
2026,117,1335,64,1217,61,H,0,26,62,6,17,6,10,10,26,9,13,7,1,13,24,58,6,25,7,9,8,29,11,19,7,3,14
2026,117,1359,87,1422,78,H,0,31,62,18,35,7,10,9,31,16,14,4,3,16,26,63,11,20,15,22,8,24,11,8,8,2,10
2026,117,1328,83,1261,67,A,0,28,59,10,26,17,18,11,24,8,8,6,4,14,22,63,6,23,17,19,16,21,14,10,5,4,14
2026,117,1251,81,1240,78,A,0,28,50,11,25,14,18,3,22,15,8,3,3,17,28,55,8,18,14,20,8,22,13,7,4,1,16
2026,117,1448,88,1393,83,H,0,33,57,9,16,13,15,10,20,19,11,6,5,16,28,54,13,26,14,17,5,13,16,8,5,0,14
2026,117,1452,79,1140,71,H,0,27,62,8,25,17,22,18,21,17,8,6,3,15,24,51,9,24,14,19,8,21,10,12,7,3,18
2026,117,1344,79,1166,76,A,0,32,63,8,19,7,8,6,25,9,7,5,3,16,26,61,9,27,15,17,11,26,17,10,2,4,9
2026,117,1295,96,1315,63,H,0,32,56,16,29,16,20,6,30,21,14,7,3,18,19,61,7,34,18,23,9,18,10,10,9,3,17
2026,117,1244,90,1174,82,H,0,29,51,10,23,22,31,9,21,19,12,7,5,21,23,50,11,24,25,26,4,15,11,12,10,1,20
2026,117,1273,82,1190,76,H,0,24,47,11,21,23,36,9,23,15,9,6,4,14,28,62,9,24,11,14,13,20,13,8,8,2,23
2026,117,1400,76,1401,70,A,0,27,62,7,21,15,16,12,29,8,11,4,9,18,23,60,5,19,19,23,9,23,10,7,7,5,17
2026,117,1112,84,1242,61,H,0,25,55,4,16,30,34,14,34,16,11,6,3,13,22,65,7,20,10,11,9,17,8,9,5,5,21
2026,117,1403,82,1235,73,A,0,31,53,14,29,6,11,9,26,17,15,3,5,23,23,59,8,24,19,27,14,15,14,7,10,3,17
2026,117,1304,82,1425,67,A,0,30,68,8,23,14,15,18,23,20,12,9,3,17,23,51,4,21,17,18,5,20,17,14,5,6,15
2026,117,1224,84,1288,59,A,0,30,66,5,17,19,29,20,36,17,13,5,2,21,18,67,3,24,20,28,18,23,6,9,2,6,23
2026,117,1260,69,1350,66,H,0,22,44,5,16,20,30,4,34,16,16,3,3,29,17,57,8,32,24,33,4,21,12,5,9,2,23
2026,117,1458,90,1449,73,A,0,34,74,17,38,5,5,12,27,16,6,6,2,15,29,63,4,18,11,16,9,26,11,9,5,4,8
2026,117,1338,72,1143,56,A,0,26,56,7,21,13,16,9,25,14,13,11,3,14,23,54,5,22,5,7,7,22,9,16,8,3,16
2026,117,1214,76,1318,65,H,0,27,53,4,15,18,23,3,30,8,4,5,1,19,24,62,3,20,14,21,11,27,9,6,1,2,21
2026,117,1294,76,1225,67,A,0,25,54,9,20,17,19,6,32,9,10,3,2,15,24,70,6,29,13,19,18,25,11,6,7,4,13
2026,117,1252,80,1184,77,A,0,30,70,14,42,6,11,15,22,21,5,5,3,15,25,60,15,36,12,14,14,28,20,13,2,1,14
2026,117,1113,73,1428,60,H,0,27,55,9,17,10,12,7,24,14,5,4,9,6,23,59,8,22,6,9,13,22,13,8,4,3,13
2026,117,1208,87,1376,68,H,0,32,57,12,30,11,13,4,24,23,6,6,8,18,22,59,6,24,18,23,15,20,9,7,5,0,17
2026,117,1255,90,1347,74,H,0,25,55,10,22,30,35,13,30,16,16,8,1,19,27,59,8,28,12,21,8,20,10,12,8,3,23
2026,117,1178,95,1324,89,A,0,33,61,6,16,23,29,9,20,22,6,7,1,21,31,57,10,24,17,22,8,22,18,13,4,2,20
2026,117,1443,97,1431,65,H,0,32,54,9,20,24,28,4,32,21,9,7,1,20,19,53,8,28,19,29,9,20,10,14,6,3,21
2026,117,1246,91,1435,77,H,0,30,51,11,22,20,25,6,23,16,11,8,0,13,30,58,7,28,10,11,6,16,16,11,2,1,18
2026,117,1155,80,1257,75,H,0,24,49,8,21,24,34,5,26,12,9,9,3,15,29,64,10,36,7,12,10,26,12,11,5,3,23
2026,117,1250,89,1137,79,H,0,30,51,11,21,18,19,7,22,24,14,5,3,13,32,63,9,21,6,8,9,15,13,11,10,1,16
2026,117,1206,71,1382,58,H,0,26,54,12,28,7,11,8,26,18,8,4,3,11,24,64,7,19,3,9,17,24,14,8,6,4,13
2026,117,1153,91,1329,68,H,0,33,70,14,34,11,15,14,29,24,8,6,0,12,22,54,7,21,17,20,5,27,15,14,6,0,12
2026,117,1321,63,1332,62,H,0,25,56,4,16,9,12,11,21,17,12,11,7,13,23,59,7,19,9,12,16,21,17,16,5,1,13
2026,117,1278,78,1417,73,H,0,29,50,12,23,8,9,2,18,24,3,4,5,8,29,57,10,24,5,6,10,20,27,6,3,0,12
2026,117,1307,81,1361,76,H,0,24,61,8,23,25,36,14,28,13,6,4,3,18,27,60,9,31,13,22,7,29,19,7,4,7,23
2026,117,1391,78,1195,63,H,0,29,52,11,21,9,14,7,29,22,16,2,2,12,23,57,5,20,12,16,6,18,11,9,9,4,11
2026,117,1462,91,1207,84,H,0,29,57,10,20,23,26,8,24,17,10,11,2,17,29,55,12,27,14,20,6,22,24,13,7,5,20
2026,117,1352,83,1156,64,H,0,31,56,9,22,12,17,11,26,21,12,6,2,10,25,61,10,27,4,8,11,17,16,9,7,1,18
2026,117,1254,74,1192,60,H,0,27,50,10,20,10,15,5,18,18,10,8,4,15,23,52,7,22,7,10,12,21,14,19,4,2,19
2026,117,1281,88,1280,64,A,0,30,59,8,20,20,24,14,24,12,12,9,5,13,26,53,5,19,7,13,8,18,9,18,9,6,14
2026,117,1292,86,1308,85,H,0,29,57,7,22,21,27,10,29,11,15,3,5,14,33,74,7,25,12,16,14,20,10,8,9,3,21
2026,117,1181,77,1438,51,H,0,26,53,12,24,13,14,7,30,17,8,6,1,16,16,55,7,35,12,13,9,20,10,9,4,4,15
2026,117,1222,102,1160,62,H,0,34,57,10,17,24,31,9,25,20,7,8,3,15,23,50,3,14,13,18,5,17,14,15,3,2,23
2026,117,1163,71,1371,67,H,0,21,46,9,21,20,29,12,18,17,15,9,3,10,25,53,9,18,8,9,9,18,13,15,10,9,22
2026,117,1386,61,1348,55,A,0,23,60,4,28,11,18,11,34,14,13,8,7,18,17,62,6,33,15,21,15,31,12,13,4,4,17
2026,117,1336,71,1234,69,H,0,25,39,9,15,12,16,2,22,13,15,3,2,13,26,57,9,28,8,9,10,14,17,8,7,1,15
2026,117,1131,68,1110,65,A,0,24,45,8,21,12,15,3,29,11,15,3,5,16,21,59,9,32,14,18,10,20,11,7,8,0,15
2026,117,1323,96,1301,90,H,0,31,59,12,25,22,28,13,27,15,12,3,0,18,31,67,10,34,18,22,12,20,14,6,10,3,21
2026,117,1199,80,1210,71,A,0,27,60,7,26,19,26,18,26,15,10,9,3,18,22,62,13,38,14,19,15,19,17,9,1,2,19
2026,117,1259,76,1221,62,A,0,29,66,8,26,10,11,12,25,10,3,9,3,18,21,54,3,15,17,22,11,26,6,11,2,6,14
2026,116,1276,84,1228,70,A,0,31,59,8,22,14,17,11,23,15,10,6,4,14,26,63,9,29,9,12,12,18,9,10,5,3,13
2026,116,1103,92,1245,70,A,0,32,58,14,28,14,18,10,28,20,14,7,1,14,26,60,13,32,5,11,9,18,17,14,8,2,14
2026,116,1157,69,1241,68,A,0,25,59,6,22,13,15,10,26,7,7,5,3,16,23,58,8,23,14,21,11,25,9,7,4,2,12
2026,116,1330,81,1209,73,A,0,27,53,4,14,23,30,6,28,13,13,4,4,27,24,63,3,20,22,34,12,23,11,6,12,3,24
2026,116,1173,68,1203,66,A,0,20,41,11,24,17,21,2,20,16,17,14,3,23,22,48,6,20,16,29,14,21,14,20,7,3,18
2026,116,1389,75,1264,65,H,0,29,60,9,20,8,13,16,24,18,12,6,7,21,20,56,4,21,21,26,14,17,8,9,7,1,16
2026,116,1217,58,1343,56,A,0,22,58,6,30,8,11,12,17,10,10,9,2,7,23,44,5,12,5,6,3,22,12,15,3,0,12
2026,116,1275,69,1444,67,A,0,25,52,4,15,15,25,4,24,8,9,5,1,19,24,57,4,13,15,20,10,29,10,11,2,0,21
2026,116,1165,72,1463,69,H,0,26,54,14,35,6,10,8,23,19,12,2,1,13,28,60,7,20,6,10,7,21,15,8,8,4,18
2026,115,1142,102,1253,92,H,0,34,73,13,37,21,22,11,31,14,8,5,2,15,34,73,9,27,15,17,9,29,16,8,5,5,20
2026,115,1471,84,1167,72,H,0,26,52,8,22,24,35,11,26,15,12,9,1,25,22,49,3,21,25,32,4,22,11,13,8,1,20
2026,115,1455,88,1272,82,A,0,29,67,4,20,26,33,18,26,7,8,3,2,15,32,62,5,14,13,17,6,21,7,7,6,3,21
2026,115,1218,77,1413,73,A,0,28,55,10,22,11,13,6,21,13,13,10,6,20,22,51,8,26,21,26,11,21,10,17,6,1,16
2026,115,1186,82,1294,72,H,0,30,53,2,11,20,24,6,22,14,8,9,6,13,29,57,5,20,9,13,8,18,15,12,5,4,19
2026,115,1287,76,1114,70,A,0,29,58,5,19,13,19,13,24,15,10,7,0,14,26,60,6,21,12,19,12,20,10,8,8,2,16
2026,115,1398,79,1369,71,A,0,20,51,3,11,36,42,10,26,9,11,9,6,19,22,58,7,18,20,28,8,19,12,12,7,4,29
2026,115,1277,76,1345,74,A,0,29,55,6,19,12,16,6,19,15,6,6,1,13,28,57,12,25,6,9,8,19,23,9,3,3,15
2026,115,1292,77,1431,67,H,0,26,58,8,24,17,22,12,23,11,14,6,0,15,23,47,9,20,12,17,3,21,8,14,8,3,21
